anime_id,name,genre,type,episodes,rating,members
17209,Suzy&#039;s Zoo: Daisuki! Witzy - Happy Birthday,Kids,Special,1,6.17,158
173,Tactics,"Comedy, Drama, Fantasy, Mystery, Shounen, Super Power",TV,25,7.34,27358
3616,Kamen no Maid Guy,"Action, Comedy, Ecchi, Super Power",TV,12,7.14,27761
18799,Take Your Way,"Action, Music, Seinen, Supernatural",Music,1,6.66,1387
18831,Rinkaku,"Dementia, Horror, Music",Music,1,5.6,606
23319,"Suisei no Gargantia: Meguru Kouro, Haruka","Action, Adventure, Mecha, Sci-Fi",OVA,2,7.46,20151
2983,Digital Devil Story: Megami Tensei,"Adventure, Demons, Drama, Fantasy, Horror, Mystery, Psychological, School, Supernatural",OVA,1,5.42,2660
21797,Chuunibyou demo Koi ga Shitai! Ren Lite,"Comedy, School",ONA,6,7.22,31544
19585,Kobo-chan,"Comedy, Kids, Slice of Life",TV,63,6.72,160
20371,Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,"Comedy, Drama, Romance, Shounen Ai",Movie,1,8.2,23045
10624,Mardock Scramble: The Second Combustion,"Action, Psychological, Sci-Fi",Movie,1,7.5,23866
23345,Yukiguni no Oujisama,Slice of Life,Movie,1,7.0,62
22943,Mugen Senshi Valis,"Action, Adventure, Fantasy",Special,1,5.75,215
33685,Cyborg 009: Call of Justice 1,"Action, Adventure, Mecha, Sci-Fi, Shounen",Movie,1,4.5,721
33988,Demi-chan wa Kataritai,"Comedy, Fantasy, School, Seinen",TV,Unknown,,6252
16642,Ane Koi: Suki Kirai Daisuki.,Hentai,OVA,2,6.98,4115
4186,Chrome Shelled Regios,"Action, Adventure, Fantasy, School, Sci-Fi",TV,24,7.57,103615
2226,Mori no Tonto-tachi,"Fantasy, Kids",TV,23,6.23,278
5819,Tori no Uta,Fantasy,OVA,1,6.58,2426
2490,One Piece: Mezase! Kaizoku Yakyuu Ou,"Comedy, Fantasy, Shounen, Sports",Movie,1,7.2,20054
27417,Diabolik Lovers OVA,"Harem, School, Shoujo, Vampire",OVA,1,6.06,13638
32032,Seikaisuru Kado,,,Unknown,,1797
13183,Fate/Zero Remix,"Action, Fantasy, Supernatural",Special,2,7.26,10824
1548,Shin Taketori Monogatari: 1000-nen Joou,"Drama, Mystery, Sci-Fi",TV,42,7.45,1805
2212,Bakuretsu Tenshi: Infinity Specials,"Action, Mecha, Sci-Fi",Special,3,6.92,4678
1245,Shihaisha no Tasogare,"Action, Demons, Drama, Horror, Sci-Fi, Shoujo, Supernatural",OVA,1,6.03,4377
2963,Minami-ke,"Comedy, School, Slice of Life",TV,13,7.81,105471
21407,Happiness Charge Precure!,"Action, Fantasy, Magic, Shoujo",TV,49,6.91,4884
18343,Girls und Panzer: Fushou - Akiyama Yukari no Sensha Kouza,"Military, School",Special,6,7.04,5867
20877,Music S.T.A.R.T!!,Music,Music,1,7.33,5729
2492,Touch 2: Sayonara no Okurimono,"Drama, Romance, Sports",Movie,1,6.99,1076
6840,Maabou no Daikyousou,"Comedy, Sports",Movie,1,4.59,483
30144,Nyuru Nyuru!! Kakusen-kun 2nd Season,Comedy,TV,13,5.1,152
9973,Xi Yang Yang Yu Hui Tai Lang: Zhi Hu Hu Sheng Wei,"Adventure, Comedy, Kids",Movie,1,5.26,143
12521,Tentoumushi no Otomurai,Music,Music,1,5.34,309
29947,Chibikuro Sambo no Tora Taiji,Kids,Movie,1,5.8,57
5305,Koihime†Musou OVA,"Comedy, Fantasy, School",OVA,1,6.75,7747
20873,Hana no Zundamaru,"Comedy, Martial Arts, Parody",ONA,8,5.1,145
25055,Furifure The Animation,Hentai,OVA,1,6.37,1832
23321,Log Horizon 2nd Season,"Action, Adventure, Fantasy, Game, Magic, Shounen",TV,25,7.66,215817
2137,Haitokuzuma,Hentai,OVA,2,6.17,2446
6305,Life no Color,"Music, School",Movie,1,5.75,1441
4726,Druaga no Tou: The Sword of Uruk,"Adventure, Fantasy",TV,12,7.39,46237
30817,Netoraserare,Hentai,OVA,2,5.68,1549
22385,a_caFe,"Fantasy, Music",Music,1,4.91,343
3946,Jarinko Chie,"Comedy, Drama, Slice of Life",Movie,1,7.26,1406
22099,Hero Bank,"Game, Kids",TV,51,6.15,1946
4823,Youkai Ningen Bem (2006),Horror,TV,26,5.93,1070
746,Papa to Kiss in the Dark,"Comedy, Drama, Romance, Yaoi",OVA,2,6.47,28620
1737,Uchuu Senshi Baldios,"Adventure, Drama, Mecha, Sci-Fi, Shounen, Space",TV,34,6.79,600
21467,Ikkyuu-san to Yancha Hime,"Comedy, Historical, Kids",Movie,1,6.31,89
17211,Shouwa Ahozoushi Akanuke Ichiban!,"Comedy, Shoujo",TV,22,7.28,246
887,Megami Kouhosei Special Curriculum,"Action, Mecha, Military, Sci-Fi, Space",OVA,1,6.46,3710
32133,Kemushi no Boro,Kids,Movie,1,,286
22621,Ahiru no Pekkle no Hihou wo Sagase,"Adventure, Fantasy, Kids",OVA,1,4.8,103
33583,Nana Moon,"Fantasy, Kids",TV,52,6.0,36
34497,Death March kara Hajimaru Isekai Kyousoukyoku,Fantasy,TV,Unknown,,240
11887,Kokoro Connect,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,13,8.01,283847
18771,Gifuu Doudou!!: Kanetsugu to Keiji,"Action, Historical, Martial Arts, Samurai, Seinen",TV,25,6.56,5511
30400,Yakusoku,Dementia,Movie,1,5.04,107
13055,Sankarea OVA,"Comedy, Ecchi, Horror, Romance, Shounen, Supernatural",OVA,2,7.35,51997
10017,Dragon Ball: Super Saiya-jin Zetsumetsu Keikaku,"Adventure, Fantasy, Martial Arts, Sci-Fi, Shounen, Super Power",OVA,1,7.07,15280
17949,The Everlasting Guilty Crown,Music,Music,1,8.0,11663
13231,Metal Fight Beyblade Zero G,"Adventure, Sports",TV,38,6.59,3533
3093,Kekkai,Hentai,OVA,1,5.5,945
28367,Dr. Slump: Arale-chan &#039;92 Oshougatsu Special,"Comedy, Sci-Fi, Shounen, Shounen",Special,3,6.19,196
7066,Mahoromatic: I&#039;m Home!,"Comedy, Ecchi, Romance, Sci-Fi",Special,2,7.18,5760
8553,Time Bokan Series: Time Patroltai Otasukeman,"Action, Adventure, Comedy, Sci-Fi",TV,53,6.51,341
3806,Sasuga no Sarutobi,"Action, Adventure, Comedy, Martial Arts, Romance, Sports",TV,69,6.73,483
20673,Hinata no Aoshigure,"Adventure, Fantasy, Romance",Movie,1,7.16,6970
30664,Jinkou no Rakuen,Dementia,Movie,1,4.71,133
2945,Hitozuma Ryoujoku Sankanbi,Hentai,OVA,2,6.44,2486
27521,Gra-P &amp; Rodeo,"Comedy, Music",TV,61,5.6,163
9606,Kaba no Potomasu,Kids,Movie,1,6.13,68
7748,Sono Hanabira ni Kuchizuke wo: Anata to Koibito Tsunagi,"Hentai, School, Yuri",OVA,1,7.4,24288
5260,Pankunchi,"Adventure, Kids",ONA,10,5.95,210
23237,Chuunibyou demo Koi ga Shitai! Ren Specials,Comedy,Special,7,7.17,20337
15393,Sakura no Ondo,Drama,Movie,1,6.38,1498
13499,Himitsukessha Taka no Tsume THE PLANETARIUM: Burabura! Black Hole no Nazo,"Adventure, Comedy, Parody, Space",Special,1,4.33,82
10330,Bakugan Battle Brawlers: Mechtanium Surge,"Action, Adventure, Fantasy, Game, Shounen",TV,46,6.29,8662
11743,Toaru Majutsu no Index: Endymion no Kiseki,"Action, Magic, Sci-Fi, Super Power",Movie,1,7.71,54873
